Year,Disney+Hotstar,Disney+,ESPN+,HULU SVOD,HULU LIVE TV+SVOD,HULU TOTAL,DISNEY+  ARPU,HULU SVOD ARPU,HULU LIVE TV+ SVOD ARPU,WALT DISENY DTC Subscription,Advertising,TV/SVOD distribution and other,Total Revenue,ESPN+ ARPU
2023,57500000,161800000,24900000,43500000,4500000,48000000,3.93,12.46,87.9,,,,,5.53
2022,61300000,164200000,24300000,42800000,4400000,47200000,4.24,12.72,87.62,15291000000,3733000000,534000000,19558000000,4.8
2021,,118100000,17100000,39700000,4000000,43800000,4.08,12.86,81.35,12020000000,3366000000,933000000,16319000000,4.57
2020,,73700000,10300000,32500000,4100000,36600000,4.8,12.24,67.24,7645000000,4477000000,1172000000,16967000000,4.35
2019,,,3000000,,,29000000,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
