Date,Global Revenue,UACN Revenue,EMEA Revenue,LATM Revenue,APAC Revenue,UACN Members,EMEA  Members,LATM Members,APAC Members,UACN RPU,EMEA RPU,LATM  RPU,APAC  RPU,Domestic Members,Domestic Revenue,International Members,International Revenue,Domestic Free Trialers,Interntaional Free Trialers,,,,,,,,,
Mar-12,"$86,97,91,000 ",,,,,,,,,,,,," 50,66,65,000 ",506665000,2409000,43425000,,,,,,,,,,,
Jun-12,"$88,91,63,000 ",,,,,,,,,,,,," 53,27,05,000 ",532705000,3024000,64973000,,,,,,,,,,,
Sep-12,"$90,50,89,000 ",,,,,,,,,,,,," 55,60,27,000 ",556027000,3689000,77744000,,,,,,,,,,,
Dec-12,"$94,52,39,000 ",,,,,,,,,,,,," 58,94,71,000 ",589471000,4892000,101400000,,,,,,,,,,,
Mar-13,"$1,02,39,61,000 ",,,,,,,,,,,,," 63,86,49,000 ",638649000,6331000,142019000,,,,,,,,,,,
Jun-13,"$1,06,93,72,000 ",,,,,,,,,,,,," 67,10,89,000 ",671089000,7014000,165902000,,,,,,,,,,,
Sep-13,"$1,10,59,99,000 ",,,,,,,,,,,,," 70,10,83,000 ",701083000,8084000,183051000,,,,,,,,,,,
Dec-13,"$1,17,52,30,000 ",,,,,,,,,,,,," 74,05,54,000 ",740554000,9722000,221418000,,,,,,,,,,,
Mar-14,"$1,27,00,89,000 ",,,,,,,,,,,,," 79,86,17,000 ",798617000,11755000,267118000,,,,,,,,,,,
Jun-14,"$1,34,04,07,000 ",,,,,,,,,,,,," 83,82,25,000 ",838225000,12907000,307461000,,,,,,,,,,,
Sep-14,"$1,40,94,32,000 ",,,,,,,,,,,,," 87,71,50,000 ",877150000,14389000,345685000,,,,,,,,,,,
Dec-14,"$1,48,47,28,000 ",,,,,,,,,,,,," 91,74,42,000 ",917442000,16778000,387797000,,,,,,,,,,,
Mar-15,"$1,57,31,29,000 ",,,,,,,,,,,,," 98,45,32,000 ",984532000,19304000,415397000,,,,,,,,,,,
Jun-15,"$1,64,46,94,000 ",,,,,,,,,,,,," 1,02,59,13,000 ",1025913000,21649000,454763000,,,,,,,,,,,
Sep-15,"$1,73,83,55,000 ",,,,,,,,,,,,," 1,06,39,61,000 ",1063961000,23951000,516870000,,,,,,,,,,,
Dec-15,"$1,82,33,33,000 ",,,,,,,,,,,,," 1,10,59,33,000 ",1105933000,27438000,566405000,,,,,,,,,,,
Mar-16,"$1,95,77,36,000 ",,,,,,,,,,,,," 1,16,12,41,000 ",1161241000,31993000,651748000,1253000,2540000,,,,,,,,,
Jun-16,"$2,10,52,04,000 ",,,,,,,,,,,,," 1,20,82,71,000 ",1208271000,33892000,758201000,1125000,2156000,,,,,,,,,
Sep-16,"$2,29,01,88,000 ",,,,,,,,,,,,," 1,30,43,33,000 ",1304333000,36799000,853480000,1018000,2447000,,,,,,,,,
Dec-16,"$2,47,75,41,000 ",,,,,,,,,,,,," 1,40,34,62,000 ",1403462000,41185000,947666000,1526000,3180000,,,,,,,,,
Mar-17,"$2,63,66,35,000 ",,,,,,,,,,,,," 1,04,61,99,000 ",1046199000,44988000,1046199000,1479000,2906000,,,,,,,,,
Jun-17,"$2,78,54,64,000 ",,,,,,,,,,,,," 1,16,52,28,000 ",1165228000,48713000,1165228000,1598000,3318000,,,,,,,,,
Sep-17,"$2,98,48,59,000 ",,,,,,,,,,,,," 1,32,74,35,000 ",1327435000,52678000,1327435000,1427000,3798000,,,,,,,,,
Dec-17,"$3,28,57,55,000 ",,,,,,,,,,,,," 1,55,03,29,000 ",1550329000,57834000,1550329000,1940000,4998000,,,,,,,,,
Mar-18,"$3,70,08,56,000 ",,,,,,,,,,,,," 1,82,00,19,000 ",1820019000,63815000,1782086000,1618000,4475000,,,,,,,,,
